transaction_id,created_at,reporting_month,account_id,counterparty_account,transaction_group_id,transaction_type,status,amount,currency,balance_before,balance_after,regulatory_code,finalized,record_hash,prev_record_hash,metadata,_ingested_at,amount_signed,balance_delta,metadata_channel,metadata_note,created_date,created_month,monto_firmado,val_balance,val_reporting_month,val_amount,val_hash_present,val_hash_chain,val_unique_id,registro_valido,observaciones
tx000000-0000-0000-0000-000000000005,2026-01-05 12:30:00+00:00,2026-01,ACC1002,CLIENT-771,GRP-202601-10,CREDIT,COMPLETED,1200.0,USD,3000.0,4200.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000005,0000000000000000000000000000000000000000000000000000000000000000,note=payment received|channel=CARD,2026-05-27T05:06:40.291935Z,1200.0,1200.0,CARD,payment received,2026-01-05,2026-01,1200.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000007,2026-01-07 14:20:00+00:00,2026-01,ACC1003,CLIENT-222,GRP-202601-20,DEBIT,COMPLETED,45.0,USD,2000.0,1955.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000007,0000000000000000000000000000000000000000000000000000000000000000,note=subscription payment|plan=basic,2026-05-27T05:06:40.291935Z,-45.0,-45.0,,subscription payment,2026-01-07,2026-01,-45.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000009,2026-01-09 16:40:00+00:00,2026-01,ACC1004,MERCH-777,GRP-202601-30,DEBIT,COMPLETED,99.99,USD,800.0,700.01,RPT01,True,hash000000000000000000000000000000000000000000000000000000000009,0000000000000000000000000000000000000000000000000000000000000000,note=e-commerce purchase|merchant_category=E-commerce,2026-05-27T05:06:40.291935Z,-99.99,-99.99000000000001,,e-commerce purchase,2026-01-09,2026-01,-99.99,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000000C,2026-01-12 11:25:00+00:00,2026-01,ACC1006,CLIENT-888,GRP-202601-40,CREDIT,COMPLETED,450.0,USD,200.0,650.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000000C,0000000000000000000000000000000000000000000000000000000000000000,note=refund|channel=PAYPAL,2026-05-27T05:06:40.291935Z,450.0,450.0,PAYPAL,refund,2026-01-12,2026-01,450.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000000E,2026-01-14 13:45:00+00:00,2026-01,ACC1007,CLIENT-999,GRP-202601-50,CREDIT,COMPLETED,200.0,USD,900.0,1100.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000000E,0000000000000000000000000000000000000000000000000000000000000000,note=salary|employer=XYZ Corp,2026-05-27T05:06:40.291935Z,200.0,200.0,,salary,2026-01-14,2026-01,200.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000010,2026-01-16 15:05:00+00:00,2026-01,ACC1008,CLIENT-222,GRP-202601-60,CREDIT,COMPLETED,130.0,USD,400.0,530.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000010,00000000000000000000000000000000000000000000000000000000000000F,note=transfer|channel=WIRE,2026-05-27T05:06:40.291935Z,130.0,130.0,WIRE,transfer,2026-01-16,2026-01,130.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000012,2026-01-18 17:20:00+00:00,2026-01,ACC1009,CLIENT-444,GRP-202601-70,CREDIT,COMPLETED,700.0,USD,50.0,750.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000012,0000000000000000000000000000000000000000000000000000000000000000,note=deposit|channel=ATM,2026-05-27T05:06:40.291935Z,700.0,700.0,ATM,deposit,2026-01-18,2026-01,700.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000014,2026-01-20 19:40:00+00:00,2026-01,ACC1010,CLIENT-777,GRP-202601-80,CREDIT,COMPLETED,320.0,USD,1200.0,1520.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000014,0000000000000000000000000000000000000000000000000000000000000000,note=refund|channel=CARD,2026-05-27T05:06:40.291935Z,320.0,320.0,CARD,refund,2026-01-20,2026-01,320.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000016,2026-01-22 08:00:00+00:00,2026-01,ACC1011,CLIENT-121,GRP-202601-90,CREDIT,COMPLETED,900.0,USD,100.0,1000.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000016,0000000000000000000000000000000000000000000000000000000000000000,note=payroll|channel=WIRE,2026-05-27T05:06:40.291935Z,900.0,900.0,WIRE,payroll,2026-01-22,2026-01,900.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000018,2026-01-24 10:20:00+00:00,2026-01,ACC1012,CLIENT-212,GRP-202601-92,CREDIT,COMPLETED,250.0,USD,400.0,650.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000018,0000000000000000000000000000000000000000000000000000000000000000,note=gift|channel=CARD,2026-05-27T05:06:40.291935Z,250.0,250.0,CARD,gift,2026-01-24,2026-01,250.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000001A,2026-01-26 12:40:00+00:00,2026-01,ACC1013,CLIENT-313,GRP-202601-94,CREDIT,COMPLETED,400.0,USD,200.0,600.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000001A,0000000000000000000000000000000000000000000000000000000000000000,note=deposit|channel=ATM,2026-05-27T05:06:40.291935Z,400.0,400.0,ATM,deposit,2026-01-26,2026-01,400.0,True,True,True,True,False,True,False,Cadena de hashes inválida
